minute,customer_no_count
420,1.0
421,2.0
422,1.0
423,1.0
424,2.0
425,3.0
426,1.0
427,2.0
428,2.0
429,1.0
430,2.0
431,1.0
432,2.0
433,2.0
434,2.0
435,2.0
436,3.0
437,1.0
438,2.0
439,3.0
440,2.0
441,2.0
442,2.0
443,2.0
444,2.0
445,2.0
446,2.0
447,2.0
448,2.0
449,4.0
450,2.0
451,3.0
452,3.0
453,2.0
454,2.0
455,3.0
456,2.0
457,2.0
458,2.0
459,2.0
460,2.0
461,2.0
462,2.0
463,2.0
464,2.0
465,1.0
466,3.0
467,2.0
468,2.0
469,4.0
470,2.0
471,3.0
472,1.0
473,4.0
474,1.0
475,2.0
476,3.0
477,2.0
478,2.0
479,2.0
480,2.0
481,2.0
482,2.0
483,2.0
484,2.0
485,3.0
486,2.0
487,2.0
488,3.0
489,1.0
490,3.0
491,2.0
492,3.0
493,1.0
494,2.0
495,2.0
496,4.0
497,3.0
498,2.0
499,2.0
500,3.0
501,3.0
502,3.0
503,1.0
504,4.0
505,4.0
506,4.0
507,3.0
508,3.0
509,2.0
510,2.0
511,2.0
512,3.0
513,2.0
514,2.0
515,2.0
516,3.0
517,2.0
518,3.0
519,2.0
520,3.0
521,3.0
522,2.0
523,2.0
524,4.0
525,3.0
526,3.0
527,1.0
528,2.0
529,4.0
530,4.0
531,2.0
532,3.0
533,3.0
534,3.0
535,2.0
536,4.0
537,3.0
538,3.0
539,2.0
540,3.0
541,2.0
542,2.0
543,1.0
544,3.0
545,2.0
546,2.0
547,3.0
548,2.0
549,1.0
550,2.0
551,2.0
552,4.0
553,2.0
554,2.0
555,4.0
556,2.0
557,2.0
558,4.0
559,3.0
560,1.0
561,2.0
562,2.0
563,1.0
564,1.0
565,2.0
566,2.0
567,2.0
568,3.0
569,2.0
570,3.0
571,2.0
572,2.0
573,1.0
574,1.0
575,1.0
576,2.0
577,2.0
578,2.0
579,2.0
580,2.0
581,2.0
582,2.0
583,2.0
584,2.0
585,2.0
586,1.0
587,4.0
588,2.0
589,1.0
590,1.0
591,2.0
592,1.0
593,2.0
594,1.0
595,2.0
596,1.0
597,2.0
598,1.0
599,1.0
600,2.0
601,2.0
602,4.0
603,1.0
604,2.0
605,2.0
606,3.0
607,2.0
608,3.0
609,2.0
610,1.0
611,1.0
612,2.0
613,2.0
614,2.0
615,2.0
616,2.0
617,2.0
618,2.0
619,3.0
620,2.0
621,1.0
622,2.0
623,2.0
624,2.0
625,2.0
626,4.0
627,2.0
628,2.0
629,2.0
630,2.0
631,2.0
632,3.0
633,2.0
634,2.0
635,2.0
636,2.0
637,1.0
638,2.0
639,2.0
640,2.0
641,1.0
642,2.0
643,2.0
644,2.0
645,2.0
646,1.0
647,2.0
648,2.0
649,2.0
650,2.0
651,2.0
652,2.0
653,2.0
654,1.0
655,1.0
656,1.0
657,2.0
658,2.0
659,1.0
660,2.0
661,2.0
662,1.0
663,1.0
664,2.0
665,1.0
666,2.0
667,1.0
668,2.0
669,2.0
670,4.0
671,2.0
672,2.0
673,1.0
674,1.0
675,1.0
676,1.0
677,2.0
678,1.0
679,2.0
680,2.0
681,2.0
682,2.0
683,2.0
684,3.0
685,1.0
686,1.0
687,2.0
688,2.0
689,2.0
690,1.0
691,1.0
692,2.0
693,2.0
694,2.0
695,1.0
696,1.0
697,2.0
698,1.0
699,2.0
700,1.0
701,1.0
702,2.0
703,2.0
704,1.0
705,2.0
706,2.0
707,2.0
708,1.0
709,4.0
710,1.0
711,2.0
712,2.0
713,3.0
714,1.0
715,2.0
716,2.0
717,2.0
718,3.0
719,2.0
720,2.0
721,2.0
722,2.0
723,1.0
724,2.0
725,3.0
726,2.0
727,3.0
728,2.0
729,1.0
730,2.0
731,2.0
732,2.0
733,1.0
734,2.0
735,2.0
736,2.0
737,2.0
738,1.0
739,2.0
740,2.0
741,1.0
742,2.0
743,2.0
744,1.0
745,1.0
746,2.0
747,2.0
748,2.0
749,2.0
750,2.0
751,2.0
752,2.0
753,1.0
754,2.0
755,1.0
756,2.0
757,1.0
758,2.0
759,2.0
760,2.0
761,2.0
762,2.0
763,3.0
764,2.0
765,2.0
766,1.0
767,1.0
768,2.0
769,3.0
770,1.0
771,1.0
772,1.0
773,1.0
774,2.0
775,3.0
776,2.0
777,3.0
778,2.0
779,2.0
780,2.0
781,2.0
782,1.0
783,1.0
784,1.0
